load_factor,electricity_price_USD_MWh,annual_saving_GWh,annual_value_USD_M,metric,architecture,value
0.5,40.0,58.78105400746349,2.35124216029854,,,
0.5,60.0,58.78105400746349,3.5268632404478093,,,
0.5,80.0,58.78105400746349,4.70248432059708,,,
0.5,120.0,58.78105400746349,7.053726480895619,,,
0.7,40.0,82.29347561044888,3.291739024417955,,,
0.7,60.0,82.29347561044888,4.937608536626932,,,
0.7,80.0,82.29347561044888,6.58347804883591,,,
0.7,120.0,82.29347561044888,9.875217073253864,,,
0.9,40.0,105.80589721343429,4.232235888537372,,,
0.9,60.0,105.80589721343429,6.348353832806057,,,
0.9,80.0,105.80589721343429,8.464471777074744,,,
0.9,120.0,105.80589721343429,12.696707665612115,,,
1.0,40.0,117.56210801492698,4.70248432059708,,,
1.0,60.0,117.56210801492698,7.053726480895619,,,
1.0,80.0,117.56210801492698,9.40496864119416,,,
1.0,120.0,117.56210801492698,14.107452961791237,,,
,,,,current_length_index_kA_km,Traditional AC,87.73624918676364
,,,,current_length_index_kA_km,Local SST,86.68181089450691
,,,,current_length_index_kA_km,Subtransmission DC backbone,73.4890878699029
