group,level,cases,median_p95_thdv_pct,p90_p95_thdv_pct,p99_p95_thdv_pct,max_p95_thdv_pct,fraction_exceeding_5pct_guide
architecture,Local SST,3072,2.6830317838956272,7.808360132362975,10.180684804956064,10.604587937086032,0.2701822916666667
architecture,Subtransmission DC backbone,3072,1.1464484550130303,2.6470104112908195,2.8138214075171346,2.9261471401260026,0.0
architecture,Traditional AC,3072,7.15816951034058,20.961588292896238,27.263317902575935,28.745453788828815,0.6565755208333334
phase_mode=coherent,Local SST,1024,3.575311877325329,8.867281413978667,10.358264863998848,10.51230843763309,0.3759765625
phase_mode=coherent,Subtransmission DC backbone,1024,1.159824834859064,2.6321169471912507,2.8147213841008067,2.9261471401260026,0.0
phase_mode=coherent,Traditional AC,1024,9.613380521742648,23.65116708481406,27.632011675981683,28.351407442284554,0.75
phase_mode=partial,Local SST,1024,3.190829324103559,7.63133880344373,9.787310569100198,10.604587937086032,0.30078125
phase_mode=partial,Subtransmission DC backbone,1024,1.1470931798066277,2.6406317233243315,2.8177559213190304,2.8816186576442053,0.0
phase_mode=partial,Traditional AC,1024,8.405674935703159,20.343824040800698,26.56133683500273,28.745453788828815,0.693359375
phase_mode=random,Local SST,1024,2.0265945355747785,5.694466548018802,10.014486329920304,10.410949327040559,0.1337890625
phase_mode=random,Subtransmission DC backbone,1024,1.14030709377306,2.659353144712173,2.8005194030976126,2.8814314586014342,0.0
phase_mode=random,Traditional AC,1024,5.418104788444006,15.298063773526893,26.376703107125522,27.79847869913749,0.5263671875
